2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - antlr-2.7.6.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - aopalliance-1.0.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - avalon-framework-4.1.3.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - commons-codec-1.2.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - commons-collections-3.1.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - commons-httpclient-3.1.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - commons-logging-1.1.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - dom4j-1.6.1.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - servlet-api-2.3.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - jta-1.1.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - log4j-1.2.12.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - logkit-1.0.1.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - hibernate-annotations-3.5.6-Final.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - hibernate-commons-annotations-3.2.0.Final.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - hibernate-core-3.5.6-Final.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - hibernate-jpa-2.0-api-1.0.0.Final.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - slf4j-api-1.5.8.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - spring-aop-3.1.2.RELEASE.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - spring-asm-3.1.2.RELEASE.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - spring-beans-3.1.2.RELEASE.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - spring-context-3.1.2.RELEASE.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - spring-core-3.1.2.RELEASE.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - spring-expression-3.1.2.RELEASE.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - spring-remoting-2.0.8.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - spring-web-2.0.8.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - spring-security-core-3.1.0.RELEASE.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - spring-security-crypto-3.1.0.RELEASE.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - spring-security-remoting-3.1.0.RELEASE.jar already exists in destination.
2014-04-11 15:30:04,059 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - xml-apis-1.0.b2.jar already exists in destination.
2014-04-11 15:30:04,683 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: de.broscode.wsv:de.broscode.wsv.server:0.0.1-SNAPSHOT @ D:\Develop\workspace\de.broscode.wsv.server\pom.xml.
2014-04-11 15:30:07,023 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-04-11 15:30:07,023 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Develop\workspace\de.broscode.wsv.server\src\main\resources
2014-04-11 15:30:07,023 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-04-11 15:30:07,023 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Develop\workspace\de.broscode.wsv.server\src\test\resources
2014-04-11 15:30:07,351 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: de.broscode.wsv:de.broscode.wsv.domain:0.0.1-SNAPSHOT @ D:\Develop\workspace\de.broscode.wsv.domain\pom.xml.
2014-04-11 15:30:07,398 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-04-11 15:30:07,398 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-04-11 15:30:07,398 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-04-11 15:30:07,398 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-04-11 15:30:07,413 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - antlr-2.7.6.jar already exists in destination.
